2026-03-28 19:13:33,430 [INFO] werkzeug:  * Restarting with watchdog (windowsapi)
2026-03-28 19:13:42,909 [WARNING] werkzeug:  * Debugger is active!
2026-03-28 19:13:42,948 [INFO] werkzeug:  * Debugger PIN: 536-506-701
2026-03-28 19:27:16,309 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0020s | Status: SUCCESS
2026-03-28 19:27:16,457 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0010s | Status: SUCCESS
2026-03-28 19:27:16,632 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0020s | Status: SUCCESS
2026-03-28 19:27:16,756 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0019s | Status: SUCCESS
2026-03-28 19:27:16,920 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0020s | Status: SUCCESS
2026-03-28 19:27:17,057 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0010s | Status: SUCCESS
2026-03-28 19:27:17,208 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0009s | Status: SUCCESS
2026-03-28 19:27:17,352 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0010s | Status: SUCCESS
2026-03-28 19:27:17,538 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0052s | Status: SUCCESS
2026-03-28 19:27:17,665 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0010s | Status: SUCCESS
2026-03-28 19:27:17,847 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0020s | Status: SUCCESS
2026-03-28 19:27:17,969 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0030s | Status: SUCCESS
2026-03-28 19:27:18,114 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0019s | Status: SUCCESS
2026-03-28 19:27:18,258 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0022s | Status: SUCCESS
2026-03-28 19:27:18,419 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0010s | Status: SUCCESS
2026-03-28 19:27:18,590 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0030s | Status: SUCCESS
2026-03-28 19:27:18,714 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0000s | Status: SUCCESS
2026-03-28 19:27:18,885 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0020s | Status: SUCCESS
2026-03-28 19:27:19,005 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0010s | Status: SUCCESS
2026-03-28 19:27:19,189 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0020s | Status: SUCCESS
2026-03-28 19:27:19,307 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0020s | Status: SUCCESS
2026-03-28 19:27:19,480 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0006s | Status: SUCCESS
2026-03-28 19:27:19,623 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0020s | Status: SUCCESS
2026-03-28 19:27:19,760 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0024s | Status: SUCCESS
2026-03-28 19:27:19,938 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0016s | Status: SUCCESS
2026-03-28 19:27:20,081 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0020s | Status: SUCCESS
2026-03-28 19:27:20,237 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0020s | Status: SUCCESS
2026-03-28 19:27:20,365 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0010s | Status: SUCCESS
2026-03-28 19:27:20,538 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0021s | Status: SUCCESS
2026-03-28 19:27:20,684 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0020s | Status: SUCCESS
2026-03-28 19:27:20,808 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0016s | Status: SUCCESS
2026-03-28 19:27:20,951 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0000s | Status: SUCCESS
2026-03-28 19:27:21,109 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0020s | Status: SUCCESS
2026-03-28 19:27:21,280 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0000s | Status: SUCCESS
2026-03-28 19:27:21,403 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0010s | Status: SUCCESS
2026-03-28 19:27:21,568 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0020s | Status: SUCCESS
2026-03-28 19:27:21,737 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0020s | Status: SUCCESS
2026-03-28 19:27:21,864 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0020s | Status: SUCCESS
2026-03-28 19:27:22,020 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0010s | Status: SUCCESS
2026-03-28 19:27:22,188 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0030s | Status: SUCCESS
2026-03-28 19:27:22,343 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0020s | Status: SUCCESS
2026-03-28 19:27:22,475 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0172s | Status: SUCCESS
2026-03-28 19:27:22,649 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0177s | Status: SUCCESS
2026-03-28 19:27:22,801 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0178s | Status: SUCCESS
2026-03-28 19:27:22,937 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0186s | Status: SUCCESS
2026-03-28 19:27:23,119 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0378s | Status: SUCCESS
2026-03-28 19:27:23,235 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0219s | Status: SUCCESS
2026-03-28 19:27:23,386 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0182s | Status: SUCCESS
2026-03-28 19:27:23,524 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0177s | Status: SUCCESS
2026-03-28 19:27:23,673 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0176s | Status: SUCCESS
2026-03-28 19:27:23,833 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0197s | Status: SUCCESS
2026-03-28 19:27:23,984 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0171s | Status: SUCCESS
2026-03-28 19:27:24,130 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0131s | Status: SUCCESS
2026-03-28 19:27:24,269 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 496} | Time: 0.0126s | Status: SUCCESS
2026-03-28 19:27:24,463 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 499} | Time: 0.0312s | Status: SUCCESS
